"","ID","Model","AIC","AICc","BIC","Response.var","Response.group","Curve.classification"
"173","35","Briere",NA,NA,NA,"gross photosynthesis rate","Photosynthesis","unimodal"
"174","35","Cubic","-14.3601682526345","-1.02683491930119","-13.9629605442353","gross photosynthesis rate","Photosynthesis","unimodal"
"175","35","Quadratic","-16.3596648929948","-10.3596648929948","-16.0418987262755","gross photosynthesis rate","Photosynthesis","unimodal"
"176","36","Yan and Hunt","-22.334664969397","-9.0013316360637","-21.9374572609979","net photosynthesis rate","Photosynthesis","unimodal"
"177","36","Briere2","-20.8384873200039","-7.50515398667059","-20.4412796116047","net photosynthesis rate","Photosynthesis","unimodal"
"178","36","Briere",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"179","36","Cubic","-22.3302140346019","-8.99688070126859","-21.9330063262027","net photosynthesis rate","Photosynthesis","unimodal"
"180","36","Quadratic","-24.3287892652179","-18.3287892652179","-24.0110230984986","net photosynthesis rate","Photosynthesis","unimodal"
"181","37","Yan and Hunt","-28.600584318143","-15.2672509848097","-28.2033766097438","respiration rate","Respiration","non-typical"
"182","37","Briere2","-21.4815804803554","-8.14824714702209","-21.0843727719562","respiration rate","Respiration","non-typical"
"183","37","Briere",NA,NA,NA,"respiration rate","Respiration","non-typical"
"184","37","Cubic","-28.4250280521296","-15.0916947187963","-28.0278203437304","respiration rate","Respiration","non-typical"
"185","37","Quadratic","-30.4186857609805","-24.4186857609805","-30.1009195942611","respiration rate","Respiration","non-typical"
"186","38","Yan and Hunt","-17.5737503135456","-4.24041698021227","-17.1765426051464","gross photosynthesis rate","Photosynthesis","unimodal"
"187","38","Briere2","-17.4273074635917","-4.09397413025839","-17.0300997551925","gross photosynthesis rate","Photosynthesis","unimodal"
"188","38","Briere",NA,NA,NA,"gross photosynthesis rate","Photosynthesis","unimodal"
"189","38","Cubic","-17.4061949516631","-4.07286161832978","-17.0089872432639","gross photosynthesis rate","Photosynthesis","unimodal"
"190","38","Quadratic","-19.3689449922222","-13.3689449922222","-19.0511788255028","gross photosynthesis rate","Photosynthesis","unimodal"
"191","39","Yan and Hunt","-22.9552447785475","-9.62191144521413","-22.5580370701483","net photosynthesis rate","Photosynthesis","unimodal"
"192","39","Briere2","-20.0060862716335","-6.67275293830014","-19.6088785632343","net photosynthesis rate","Photosynthesis","unimodal"
"193","39","Briere",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"194","39","Cubic","-22.1401798851468","-8.80684655181351","-21.7429721767477","net photosynthesis rate","Photosynthesis","unimodal"
"195","39","Quadratic","-22.5981903708046","-16.5981903708046","-22.2804242040853","net photosynthesis rate","Photosynthesis","unimodal"
